Year,Week,Releases,wT10Gross,wRelease,lGross,lTGross,lWeeks,lTop 10 Gross,lOverall,year_x,week,Release,Distributor,Theaters,t100,t500,t5k,mem,Gross_x
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Countdown,STX Entertainment,2675,0,1,9,30,9009000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Black and Blue,Screen Gems,2062,0,1,5,27,8325000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,The Current War: Director's Cut,101 Studios,1022,0,4,3,75,2730200
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Jesus Is King,IMAX,372,0,1,1,1,830000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Western Stars,Warner Bros.,345,0,0,1,0,560000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,No Safe Spaces,Atlas Distribution Company,1,0,0,2,18,45236
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Frankie,Sony Pictures Classics,4,0,1,3,17,22941
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Making Waves: The Art of Cinematic Sound,Matson Films,3,0,2,7,35,12775
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Going Attractions: The Definitive Story of the American Drive-in Movie2019 re-release,-,2,0,0,1,24,490
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,3790,3,4,11,100,36948713
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Zombieland: Double Tap,Sony Pictures Releasing,3468,3,4,4,35,26803104
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,The Lighthouse,A24,8,1,1,0,1,427797
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Jojo Rabbit,Fox Searchlight Pictures,5,2,0,6,22,349555
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,The Captain,Well Go USA Entertainment,47,0,0,0,28,324769
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Jay and Silent Bob Reboot,Saban Films,1,0,7,18,89,93520
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,The Cave,National Geographic Entertainment,2,0,0,0,2,21185
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Immortal Hero,Freestyle Releasing,12,0,0,0,14,20629
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Greener Grass,IFC Films,2,0,0,3,42,9305
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,By the Grace of God,Music Box Films,2,0,0,0,64,7765
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Stuffed,Music Box Films,1,0,0,0,0,1602
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Serendipity,Cohen Media Group,2,0,0,0,2,1156
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,The Addams Family,United Artists Releasing,4007,1,4,11,6,35082869
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Gemini Man,Paramount Pictures,3642,2,0,5,44,23064738
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Jexi,Lionsgate,2332,0,1,5,66,3516338
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Parasite,Neon,3,0,0,4,18,439603
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Alien2019 Re-release,Fathom Events,682,0,0,6,4,386976
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,The Sky Is Pink,-,194,0,0,2,8,373684
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Matthias & Maxime,Entertainment One,50,0,1,1,10,86622
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Skid Row Marathon,Fathom Events,438,0,0,0,0,84997
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,High Strung Free Dance2019 Re-release,Atlas Distribution Company,106,0,1,1,25,54601
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,The Dead Center,Arrow Films,10,0,0,0,54,5788
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,Gift,Matson Films,2,0,0,0,4,4668
2019,41,59,107863677.45,97.6,96202337,96202337,1,142713298,150554448,2019,41,The Perfect Race,Five & Two Pictures,1,0,0,0,39,3400
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Joker,Warner Bros.,4374,3,3,10,140,96202337
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,War,-,305,0,0,1,28,1607627
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,"My People, My Country",CMC Pictures,67,0,0,0,61,876001
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Roger Waters - Us + Them,Trafalgar Releasing,396,0,0,0,29,251842
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Ghostbusters2019 Re-release,Fathom Events,546,0,2,8,68,239202
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,The Climbers,Well Go USA Entertainment,102,0,0,2,11,156096
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Pain & Glory,Sony Pictures Classics,4,0,1,4,34,152636
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Lucy in the Sky,Fox Searchlight Pictures,37,1,1,5,38,54058
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Wrinkles the Clown,Magnolia Pictures,21,0,0,0,10,28248
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Memory: The Origins of Alien,Screen Media Films,19,0,0,2,20,14704
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,The Battle of Jangsari,Well Go USA Entertainment,2,0,0,1,13,8552
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Celebration,-,1,0,0,1,4,5034
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Gregory's Girl,Film Movement,1,0,0,0,29,4185
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Wallflower,-,1,0,0,0,24,2378
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,I Lost Albert2019 Re-release,Distrib Films,1,0,0,0,52,2354
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,The Woman Who Loves Giraffes,Zeitgeist Films,2,0,0,2,13,1810
2019,40,107,119561053.375,110.1875,20612100,20612100,1,83354126,94527125,2019,40,Game Day,Ammo Content,4,0,0,0,33,1624
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Abominable,Universal Pictures,4242,0,1,3,20,20612100
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Judy,Roadside Attractions,461,0,1,4,49,2916548
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Nothing to Lose 2,-,97,0,0,0,10,606934
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,The Secret World of Arrietty2019 Re-release,Fathom Events,741,0,3,7,18,226728
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,10E,-,2,0,0,0,49,28863
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,The Death of Dick Long,A24,30,0,0,3,18,26630
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,First Love,Well Go USA Entertainment,2,0,0,0,8,21151
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Anthropocene: The Human Epoch,Kino Lorber,7,0,1,0,0,16038
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,The Day Shall Come,IFC Films,30,0,1,4,18,14854
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Jim Allison: Breakthrough,Dada Films,3,0,1,0,1,8679
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Fritz Lang's Indian Epic2019 re-release,Film Movement,1,0,0,0,12,4401
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,The Gliksmans,Indican Pictures,3,0,0,2,27,2922
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,The Golden Glove,Strand Releasing,5,0,0,0,25,2300
2019,39,111,91542753.0,128.25,31033665,31033665,1,113373910,123431530,2019,39,Série noire,Rialto Pictures,1,0,0,0,10,2088
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Downton Abbey,Focus Features,3079,0,2,20,51,31033665
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Ad Astra,Fox,3460,1,0,6,54,19001398
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Rambo: Last Blood,Lionsgate,3618,0,1,2,50,18872919
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,The Shawshank Redemption2019 Re-release,Fathom Events,669,0,0,7,63,183128
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Promare,GKIDS,54,0,0,2,29,109085
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Bad Guys: The Movie,CJ Entertainment,11,0,0,0,5,45233
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Where's My Roy Cohn?,Sony Pictures Classics,4,0,0,1,8,41202
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Tazza: One Eyed Jack,Well Go USA Entertainment,22,0,0,0,38,41139
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Prassthanam,-,32,0,0,0,20,12737
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Midnight Diner,Well Go USA Entertainment,13,0,0,0,20,10861
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Fantastic Fungi,Area 23a,1,0,1,0,28,9419
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Loro,IFC Films,1,0,0,1,131,5317
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Britt-Marie Was Here,Cohen Media Group,3,0,0,0,21,4090
2019,38,106,86914069.66666667,127.83333333333331,39606550,152675074,2,97031904,110793852,2019,38,Midnight Traveler,Oscilloscope,1,0,0,0,4,3549
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Hustlers,STX Entertainment,3250,0,2,10,75,33181361
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,The Goldfinch,Warner Bros.,2542,0,3,8,93,2679027
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Star Trek: The Motion Picture2019 Re-release,Fathom Events,627,0,0,3,77,220007
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Freaks,Well Go USA Entertainment,111,0,0,5,12,161543
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Out of Liberty,Purdie Distribution,35,0,0,1,16,66546
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Monos,Neon,5,0,0,2,10,49843
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,El Norte2019 Re-release,Fathom Events,179,0,0,0,50,27920
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Fagara,China Lion Film Distribution,13,0,0,0,11,25206
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Chasing Einstein,Atlas Distribution Company,4,0,0,0,9,9708
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Chained for Life,Kino International,2,0,0,1,44,7415
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,One Cut of the Dead,Variance Films,2,0,0,0,17,6360
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,The Sound of Silence,IFC Films,2,0,0,2,21,5449
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Moonlight Sonata: Deafness in Three Movements,Abramorama,1,0,0,0,0,5424
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Cracked Up,Abramorama,1,0,0,0,1,5310
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Desolation Center,Matson Films,3,0,0,0,26,4938
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Imprisoned,Cinema Libre Studio,1,0,0,5,41,4381
2019,37,106,81451524.66666667,125.58333333333331,91062152,91062152,1,123496912,138423528,2019,37,Another Day of Life,GKIDS,2,0,0,0,22,1691
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,It Chapter Two,Warner Bros.,4570,1,3,18,78,91062152
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Linda Ronstadt: The Sound of My Voice,Greenwich Entertainment,7,0,1,3,28,113235
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Plácido Domingo Gala,Fathom Events,217,0,0,0,0,52502
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Mr. Klein,Rialto Pictures,1,0,0,1,45,15915
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Ms. Purple,Oscilloscope,1,0,0,0,58,15734
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Edie,Music Box Films,7,0,0,1,19,8801
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Rapid Response,Atlas Distribution Company,8,0,0,0,12,4497
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,Ága,Big World Pictures,1,0,0,0,5,2553
2019,36,92,79852053.5625,113.125,15375039,44489260,1,84263777,120764143,2019,36,I'm Leaving Now,The Cinema Guild,1,0,0,0,1,1255
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Don't Let Go,-,922,0,0,4,5,2921490
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Saaho,-,381,0,0,1,78,1707360
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Tod@s Caen,-,371,0,0,1,16,1371696
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Ne Zha,Well Go USA Entertainment,66,0,0,0,10,1337819
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Bennett's War,-,970,0,0,0,25,555885
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Lawrence of Arabia2019 Re-release,Fathom Events,661,0,0,2,61,291722
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Killerman,Blue Fox Entertainment,322,0,0,3,64,202705
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Raise Hell: The Life & Times of Molly Ivins,Magnolia Pictures,18,0,0,0,25,119589
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Official Secrets,IFC Films,4,0,2,10,75,82779
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,Before You Know It,1091 Media,3,0,0,5,24,29683
2019,35,82,83528402.8,109.8,21380987,21380987,1,87899112,108764687,2019,35,The Miracle of the Little Prince,Film Movement,1,0,0,0,0,3621
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Angel Has Fallen,Lionsgate,3286,0,1,8,96,21380987
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Overcomer,-,1723,0,0,0,26,8146533
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Ready or Not,Fox Searchlight Pictures,2855,0,1,3,20,8015590
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,My Neighbor Totoro2019 Re-release,Fathom Events,767,1,1,3,55,484254
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Brittany Runs a Marathon,Amazon Studios,5,0,0,2,27,180711
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Fiddler: A Miracle of Miracles,Roadside Attractions,7,0,0,2,31,36425
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,The Death and Life of John F. Donovan,Entertainment One,25,0,3,7,90,33340
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Give Me Liberty,Music Box Films,3,0,0,0,17,33261
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Tigers Are Not Afraid2019 Re-release,Variance Films,6,0,0,0,7,30710
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Miles Davis: Birth of the Cool,Abramorama,1,0,0,1,26,18258
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Vita & Virginia,IFC Films,1,0,2,3,15,3408
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,Genesis,Film Movement,1,0,0,2,22,2585
2019,34,98,86155898.91666667,114.25,21402605,21402605,1,101857634,120307107,2019,34,RUSH: Cinema Strangiato 2019,Trafalgar Releasing,1,0,0,0,12,2580
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Good Boys,Universal Pictures,3204,0,0,6,78,21402605
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,The Angry Birds Movie 2,Sony Pictures Releasing,3869,0,1,19,57,10354073
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,47 Meters Down: Uncaged,Entertainment Studios Motion Pictures,2853,0,0,5,5,8427265
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Blinded by the Light,Warner Bros.,2307,0,1,1,68,4333305
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,"Where'd You Go, Bernadette",United Artists Releasing,2404,0,1,10,98,3462308
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Batla House,-,81,0,0,0,64,212645
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Line Walker 2: Invisible Spy,Well Go USA Entertainment,17,0,0,0,35,96991
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,The Divine Fury,Well Go USA Entertainment,23,0,0,1,30,43863
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Aquarela,Sony Pictures Classics,5,0,0,0,0,24753
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Cold Case Hammarskjöld,Magnolia Pictures,10,0,0,0,42,18285
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,End of the Century,The Cinema Guild,1,0,0,1,4,10063
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Buñuel in the Labyrinth of the Turtles,GKIDS,2,0,0,0,11,5691
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Los Reyes,Grasshopper Film,2,0,0,0,0,5661
2019,33,101,115311023.75,112.91666666666669,25265795,108379575,2,121235199,132104260,2019,33,Olivia,Icarus Films,3,0,0,0,39,3948
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Scary Stories to Tell in the Dark,Lionsgate,3135,0,0,5,33,20915346
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Dora and the Lost City of Gold,Paramount Pictures,3735,0,1,7,72,17431588
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,The Art of Racing in the Rain,Fox,2765,0,1,5,37,8137584
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,The Kitchen,Warner Bros.,2745,0,2,9,90,5527410
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Bring The Soul: The Movie,Trafalgar Releasing,873,0,0,0,8,2296491
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Brian Banks,Bleecker Street Media,1240,0,0,2,74,2156272
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,"Hello, Dolly!",Fathom Events,669,0,0,3,123,221204
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,The Peanut Butter Falcon,Roadside Attractions,17,0,2,5,17,204793
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,The Bravest,Sony Pictures Releasing,150,0,0,0,15,110375
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,After the Wedding,Sony Pictures Classics,5,0,1,2,29,50264
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,ECCO,Citadel Film Group,155,0,0,0,16,48205
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Wicked Witches,Nocturnal Features,10,0,0,0,5,21600
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,One Child Nation,Amazon Studios,2,0,0,0,4,20523
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Light of My Life,Saban Films,28,0,1,1,13,9358
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Ode to Joy,IFC Films,2,0,2,3,10,3568
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,Dying to Survive2019 Re-release,China Lion Film Distribution,2,0,0,0,16,3238
2019,32,92,133108853.25,109.83333333333331,60038950,60038950,1,143893312,148998871,2019,32,La flor,Grasshopper Film,1,0,0,0,31,2308
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,4253,3,4,6,102,60038950
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Luce,Neon,5,0,0,3,23,132987
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Tel Aviv on Fire,Cohen Media Group,11,0,0,0,17,47545
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,The Nightingale,IFC Films,2,0,2,2,23,35882
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Exit,CJ Entertainment,2,0,0,0,18,32441
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Leo Da Vinci: Mission Mona Lisa,Ammo Content,25,0,0,0,13,19978
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Jay Myself,Oscilloscope,1,0,0,0,1,18909
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Them That Follow,1091 Media,3,1,2,3,25,13137
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Union,Indican Pictures,4,0,0,0,109,11900
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,"Love, Antosha",-,1,4,6,9,18,7150
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Grateful Dead: Meet-Up at the Movies,Trafalgar Releasing,4,0,0,0,5,3786
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Piranhas,Music Box Films,1,0,0,0,15,2898
2019,31,97,134064684.33333331,108.58333333333331,76621553,351873087,2,155622904,162868015,2019,31,Joan the Maid 1: The Battles,Cohen Media Group,1,0,0,0,41,1229
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,Once Upon a Time in Hollywood,Sony Pictures Releasing,3659,4,5,28,179,41082018
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,Kiki's Delivery Service2019 Re-release,Fathom Events,753,0,1,5,61,352556
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,The Fighting Preacher,Purdie Distribution,28,0,0,0,23,60224
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,Honeyland,Neon,2,0,0,0,4,31381
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,Mike Wallace Is Here,Magnolia Pictures,3,0,0,6,26,19437
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,The Mountain,Kino Lorber,2,0,2,2,68,15785
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,For Sama,PBS Distribution,3,0,0,0,3,9350
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,The Ground Beneath My Feet,Strand Releasing,1,0,0,0,38,3295
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,Angels Are Made of Light,Grasshopper Film,1,0,0,0,11,1707
2019,30,97,148763158.08333334,109.91666666666669,191770759,191770759,1,253574574,263882516,2019,30,In Safe Hands,Distrib Films,1,0,0,0,46,348
2019,29,102,182475369.5833333,108.0,45353359,274582664,2,114124922,126932873,2019,29,The Lion King,Walt Disney Studios Motion Pictures,4725,0,2,15,3,191770759
2019,29,102,182475369.5833333,108.0,45353359,274582664,2,114124922,126932873,2019,29,Glory2019 Re-release,Fathom Events,435,0,1,7,54,83347
2019,29,102,182475369.5833333,108.0,45353359,274582664,2,114124922,126932873,2019,29,David Crosby: Remember My Name,Sony Pictures Classics,4,0,0,0,9,43483
2019,29,102,182475369.5833333,108.0,45353359,274582664,2,114124922,126932873,2019,29,Looking Up,China Lion Film Distribution,13,0,0,0,15,36541
