Name,STARmeter,Episodes,Known for
Artur Barcis Young Man / Bicyclist / Hospital Orderly / Man in the Sheepskin / Survey Crewman / …  See more  Young Man / Bicyclist / Hospital Orderly / Man in the Sheepskin / Survey Crewman / Tram driver / Young Man with Canoe  See fewer,Members only,9,Ranczo (2006)
Olgierd Lukaszewicz Andrzej Geller  Andrzej Geller  See fewer,Members only,3,Sexmission (1984)
Aleksander Bardini Consultant  Consultant  See fewer,Members only,2,The Double Life of Véronique (1991)
Olaf Lubaszenko Tomek  Tomek  See fewer,Members only,2,Schindler's List (1993)
Krystyna Janda Dorota Geller  Dorota Geller  See fewer,Members only,2,Interrogation (1989)
Piotr Machalica Roman  Roman  See fewer,Members only,2,Three Colors: White (1994)
Jan Tesarz Taxi Driver  Taxi Driver  See fewer,Members only,2,Hart's War (2002)
Stanislaw Gawlik Postman  Postman  See fewer,Members only,2,The War of the Worlds: Next Century (1981)
Krzysztof Kumor Gynecologist  Gynecologist  See fewer,Members only,2,Spellbinder (1995)
Katarzyna Piwowarczyk Ania  Ania  See fewer,Members only,2,Dekalog (1989)
Maciej Szary Apartment Caretaker  Apartment Caretaker  See fewer,Members only,2,Lava (1989)
Henryk Baranowski Krzysztof  Krzysztof  See fewer,Members only,2,Television Theater (1953)
Miroslaw Baka Lazar Jacek  Lazar Jacek  See fewer,Members only,1,A Short Film About Killing (1988)
Adrianna Biedrzynska Anka  Anka  See fewer,Members only,1,Milosc z listy przebojów (1985)
Ewa Blaszczyk Hanka  Hanka  See fewer,Members only,1,Nadzór (1985)
Maria Koscialkowska Zofia  Zofia  See fewer,Members only,1,Passenger (1963)
Daniel Olbrychski Janusz  Janusz  See fewer,Members only,1,Salt (2010)
Anna Polony Ewa  Ewa  See fewer,Members only,1,The Reverse (2009)
Jerzy Stuhr Jerzy  Jerzy  See fewer,Members only,1,Love Stories (1997)
Grazyna Szapolowska Magda  Magda  See fewer,Members only,1,A Short Film About Love (1988)
Maja Barelkowska Majka  Majka  See fewer,Members only,1,Demon (2015)
Janusz Gajos Michal  Michal  See fewer,Members only,1,Three Colors: White (1994)
Krzysztof Globisz Piotr  Piotr  See fewer,Members only,1,A Short Film About Killing (1988)
Wojciech Klata Pawel  Pawel  See fewer,Members only,1,Schindler's List (1993)
Teresa Marczewska Elzbieta  Elzbieta  See fewer,Members only,1,Shivers (1981)
Maria Pakulnis Ewa  Ewa  See fewer,Members only,1,Sons and Comrades (1986)
Zbigniew Zamachowski Artur  Artur  See fewer,Members only,1,Three Colors: White (1994)
Henryk Bista Shopkeeper  Shopkeeper  See fewer,Members only,1,Lava (1989)
Stefania Iwinska Godmother  Godmother  See fewer,Members only,1,A Short Film About Love (1988)
Maja Komorowska Irena  Irena  See fewer,Members only,1,A Woman's Decision (1975)
Wladyslaw Kowalski Stefan  Stefan  See fewer,Members only,1,Avalon (2001)
Joanna Szczepkowska Janusz' Wife  Janusz' Wife  See fewer,Members only,1,Matka Królów (1987)
Jan Jankowski Mariusz  Mariusz  See fewer,Members only,1,Sam posród swoich (1985)
Boguslaw Linda Wojtek  Wojtek  See fewer,Members only,1,Pigs (1992)
Tadeusz Lomnicki Tailor  Tailor  See fewer,Members only,1,Colonel Wolodyjowski (1969)
Agnieszka Brustman Chess Player  Chess Player  See fewer,Members only,1,Dekalog (1989)
Krystyna Drochocka Aunt  Aunt  See fewer,Members only,1,Dekalog (1989)
Adam Hanuszkiewicz Professor  Professor  See fewer,Members only,1,Spóznieni przechodnie (1962)
Marian Opania Dean  Dean  See fewer,Members only,1,Lalka (1968)
Jolanta Pietek-Górecka Ola  Ola  See fewer,Members only,1,Lava (1989)
Maciej Stuhr Piotrek  Piotrek  See fewer,Members only,1,Aftermath (2012)
Maciej Borninski Jacek's father  Jacek's father  See fewer,Members only,1,Lava (1989)
Bozena Dykiel Ticket Woman  Ticket Woman  See fewer,Members only,1,The Tribulations of Balthazar Kober (1988)
Bronislaw Pawlik Philatelist  Philatelist  See fewer,Members only,1,Orzel (1959)
Jerzy Turek Stamp Collector at the Stamp Exchange  Stamp Collector at the Stamp Exchange  See fewer,Members only,1,Pieklo i niebo (1966)
Wojciech Asinski Student  Student  See fewer,Members only,1,M jak milosc (2000)
Anna Gornostaj Nurse  Nurse  See fewer,Members only,1,The Double Life of Véronique (1991)
Rafal Imbro Bearded Man  Bearded Man  See fewer,Members only,1,A Short Film About Love (1988)
Magdalena Mikolajczak Journalist  Journalist  See fewer,Members only,1,Cows (1992)
Igor Smialowski Man in Okecie  Man in Okecie  See fewer,Members only,1,Lalka (1978)
Dorota Stalinska PKP employee riding a skateboard  PKP employee riding a skateboard  See fewer,Members only,1,Bez milosci (1980)
Jerzy Trela Mikolaj  Mikolaj  See fewer,Members only,1,Quo Vadis (2001)
