Name,STARmeter,Episodes,Known for
Tom Baker Doctor Who  Doctor Who  See fewer,Members only,173,Nicholas and Alexandra (1971)
William Hartnell Dr. Who / The Abbot of Amboise / The Doctor  Dr. Who / The Abbot of Amboise / The Doctor  See fewer,Members only,137,Escape (1948)
Jon Pertwee Doctor Who / Dr. Who / The Doctor  Doctor Who / Dr. Who / The Doctor  See fewer,Members only,129,A Funny Thing Happened on the Way to the Forum (1966)
Patrick Troughton Dr. Who / Salamander / The Doctor  Dr. Who / Salamander / The Doctor  See fewer,Members only,127,The Omen (1976)
Frazer Hines Jamie / Jamie McCrimmon  Jamie / Jamie McCrimmon  See fewer,Members only,116,Two Days in the Smoke (2014)
Nicholas Courtney Brigadier Lethbridge Stewart / Brigadier Lethbridge-Stewart / Bret Vyon / Brig. Lethbridge Stewart / Col. Lethbridge-Stewart / …  See more  Brigadier Lethbridge Stewart / Brigadier Lethbridge-Stewart / Bret Vyon / Brig. Lethbridge Stewart / Col. Lethbridge-Stewart / The Brigadier / Brig. Lethbridge-Stewart / Brigade Leader Lethbridge Stewart / Tourist  See fewer,Members only,107,Doctor Who: Dimensions in Time (1993)
Pat Gorman Guard / Cyberman / Technician / Monk / Sea Devil / …  See more  Guard / Cyberman / Technician / Monk / Sea Devil / Brother / Greek Soldier / Pilot / Seaman / Silurian / Silurian Scientist / Soldier / A Medic / Auton Leader / Coven Member / Foster / Grogan / Gundan / Kro / Primitive / Primitive and Voice / Primord / Rebel / Worker / 'Nuthatch' Resident / Chancellary Guard / Chancellory Guard / Colonist / Dead Crewman / Earth Guard / Film Cameraman / Freedom Fighter / Gate Guard / Global Chemicals Guard / Long / Medic / Military Policeman / Planetarian / Policeman / Presidential Guard / Slave Worker / Thal Soldier / Thug / UNIT Corporal / UNIT Soldier / Villager  See fewer,Members only,105,The Elephant Man (1980)
Elisabeth Sladen Sarah Jane Smith  Sarah Jane Smith  See fewer,Members only,81,The Sarah Jane Adventures (2007)
Jacqueline Hill Barbara Wright / Lexa  Barbara Wright / Lexa  See fewer,Members only,81,The Six Proud Walkers (1962)
William Russell Ian Chesterton  Ian Chesterton  See fewer,Members only,78,The Great Escape (1963)
Katy Manning Jo Grant  Jo Grant  See fewer,Members only,77,When Darkness Falls (I) (2006)
John Scott Martin Dalek / Dalek Operator / Mutt / Zarbi / Charlie / …  See more  Dalek / Dalek Operator / Mutt / Zarbi / Charlie / Robot / Nucleus / Gell Guard / Hughes / Kriz / Mechanoid / Mechonoid / Reading Guard / Zarbi Operator  See fewer,Members only,76,Little Shop of Horrors (1986)
John Levene Sergeant Benton / RSM Benton / Benton / Yeti / Platoon Under Leader Benton / …  See more  Sergeant Benton / RSM Benton / Benton / Yeti / Platoon Under Leader Benton / Sgt. Benton / Cyberman  See fewer,Members only,73,BeetleBorgs (1996)
Peter Davison The Doctor / Doctor Who / Omega  The Doctor / Doctor Who / Omega  See fewer,Members only,70,Doctor Who (2005)
Janet Fielding Tegan  Tegan  See fewer,Members only,65,Jim'll Fix It (1975)
John Leeson K9 / Voice of K9 / Voice of K.9 / Dugeen / Nucleus / Dalek Battle Computer  K9 / Voice of K9 / Voice of K.9 / Dugeen / Nucleus / Dalek Battle Computer  See fewer,Members only,61,The Spanish Farm (1968)
Carole Ann Ford Susan Foreman  Susan Foreman  See fewer,Members only,53,Invasion of the Triffids (1963)
Gerald Taylor Dalek / Dalek Machine Operator / WOTAN / Zarbi / War Machine Operator / …  See more  Dalek / Dalek Machine Operator / WOTAN / Zarbi / War Machine Operator / Zarbi Operator / Assistant / Baker's Man / Dalek Operator / Damon's Assistant / Vega Nexos  See fewer,Members only,53,Chitty Chitty Bang Bang (1968)
Robert Jewell Dalek / Dalek Machine Operator / Zarbi / Macra / Dalek Operator / …  See more  Dalek / Dalek Machine Operator / Zarbi / Macra / Dalek Operator / Zarbi Operator / Clown / Macra Operator  See fewer,Members only,53,Dr. Who and the Daleks (1965)
Peter Hawkins Daleks / Dalek / Dalek Voices / Cyberman / Cybermen / …  See more  Daleks / Dalek / Dalek Voices / Cyberman / Cybermen / Cybermen Voices / Dalek Voice / Marc Cory  See fewer,Members only,51,The Big Spender (1965)
Roy Skelton Daleks / Dalek / Cyberman / Dalek Voices / Kroton / …  See more  Daleks / Dalek / Cyberman / Dalek Voices / Kroton / Norton / Computer / Wester / Chedaki / King Rokon / Monoids / Control Technician / Cybermen / James / K9  See fewer,Members only,50,Rainbow (1972)
