Name,STARmeter,Known for
Shah Rukh Khan Bauua Singh  Bauua Singh  See fewer,Top 5000,Don 2 (2011)
Anushka Sharma Aafia Yusufzai Bhinder  Aafia Yusufzai Bhinder  See fewer,Members only,Jab Tak Hai Jaan (2012)
Katrina Kaif Babita Kumari  Babita Kumari  See fewer,Top 5000,Zindagi Na Milegi Dobara (2011)
Mohammed Zeeshan Ayyub Guddu  Guddu  See fewer,Members only,Raanjhanaa (2013)
Abhay Deol Aditya Kapoor  Aditya Kapoor  See fewer,Members only,Zindagi Na Milegi Dobara (2011)
Madhavan Kartik Srinivasan (as R.Madhavan)  Kartik Srinivasan (as R.Madhavan)  See fewer,Members only,Vikram Vedha (2017)
Ganesh Acharya Himself  Himself  See fewer,Members only,Bajirao Mastani (2015)
Spencer Allport Street Urchin Derek  Street Urchin Derek  See fewer,Members only,Perfect Harmony (2019)
Alan Applegate Street Urchin  Street Urchin  See fewer,Members only,Always with you (2019)
Sophia Arrington Party Goer  Party Goer  See fewer,Members only,The Saints of the Rue Scribe (2020)
Tatiana Beauchamp Drunk girl / party guest  Drunk girl / party guest  See fewer,Members only,Zero (III) (2018)
Bryan Benfield Space Program Candidate  Space Program Candidate  See fewer,Members only,The Atoning (2017)
Alia Bhatt Herself  Herself  See fewer,Members only,Highway (I) (2014)
Jude Biancone Truck Driver  Truck Driver  See fewer,Members only,Never Leave Me (2018)
Bill Billions NSAR Security Chief Larry Walter  NSAR Security Chief Larry Walter  See fewer,Members only,The Silent Natural (2019)
Jermaine Boswell NSAR Security Deputy Tyler Watts  NSAR Security Deputy Tyler Watts  See fewer,Members only,Only Easy Day
Saul Cancel Trainer  Trainer  See fewer,Members only,Crescent City Chronicles: Sanctuary (2018)
N. Barry Carver American Scientist  American Scientist  See fewer,Members only,Romeo & Juliet Revisited (2002)
Sheeba Chaddha Beena Singh  Beena Singh  See fewer,Members only,Talaash (2012)
Savannah Chappell Space Program Candidate  Space Program Candidate  See fewer,Members only,Dormant (2018)
Anshul Chauhan Shamina Khan  Shamina Khan  See fewer,Members only,Shubh Mangal Saavdhan (2017)
Juhi Chawla Herself  Herself  See fewer,Members only,Three Walls (2003)
Laura Cianciolo Bar Patron  Bar Patron  See fewer,Members only,David Makes Man (2019)
Hugh Clinton Street Musician  Street Musician  See fewer,Members only,Zero (III) (2018)
